kuerzel,textform,kernthema,kernthema_punkte,austausch,textverstaendnis,begriff,begriff_punkte,stelle_1,stelle_1_punkte,wahr_oder_falsch,wahr_oder_falsch_punkte,jahreszahl_1,jahreszahl_1_punkte,stelle_2,stelle_2_punkte,land,land_punkte,parteien,parteien_punkte,parteichefin,parteichefin_punkte,vorwurf,vorwurf_punkte,jahreszahl_2,jahreszahl_2,gesamtpunkte
mn4,print,Die politische Lage in Indien ,1,A223,A232,A241,1,A254,0,A262,0,A273,1,A283,0,Indien ,1,300,1,,0,Korruption ,1,,0,6
AI10,print,Wahlen in Indien,2,A224,A231,A241,1,A254,0,A261,1,A272,0,A283,0,Indien,1,500,0,Gandhi,1,Korruption,1,2014,1,8
aa1,print,Irgendein Typ irgendwas mit Israel und frauen,0,A224,A231,A241,1,A251,0,A261,1,A273,1,A281,0,Israel,1,300,1,Arwind,0,Korruption,1,2014,1,7
il5,print,Parlamentswahl in Indien Kritikpunkt war dass keine Partei das Frauenwahlrecht berücksichtigt hat,2,A224,A231,A241,1,A254,0,A263,0,A273,1,A284,0,Indien,1,300,1,,0,Korruption ,1,2014,1,8
Al12,print,Parlamentswahlen in Indien mit über 300 Parteien. Frauenrechte wurden dabei nicht beachtet. ,2,A224,A232,A241,1,A251,0,A261,1,A273,1,A281,0,Indien,1,300,1,,0,Korruption ,1,2014,1,9
oh3,print,Die Parlamentswahlen in Indien und die dortige Gesellschaft.,2,A224,A231,A243,0,A252,0,A261,1,A274,0,A284,0,Indien,1,,0,Gandhi,1,Korruption ,1,2005,0,6
at11,online,Kandidaten für die Parlamentswahl in Indien,2,A224,A231,A241,1,A253,1,A261,1,A271,0,A283,0,Indien,1,500,0,Gandhi,1,Korruption,1,2025,0,8
Ht1,print,Wahlen in Indien,2,A224,A231,A242,0,A252,0,A261,1,A273,1,A283,0,Indien,1,300,1,Vetternwirtschaft,0,Korruption,1,2014,1,8
Ml9,online,Bevorstehende Wahl in Indien,2,A224,A231,A241,1,A251,0,A261,1,A273,1,A283,0,Indien,1,300,1,/,0,Korruption,1,2014,1,9
ac9,print,Parlamentswahl in Indien und wie Korruption dort eine Rolle spielt,2,A224,A232,A242,0,A254,0,A261,1,A272,0,A282,1,Indien,1,,0,,0,Korruption,1,2014,1,7
rh10,print,Präsidentschaftswahl,1,A224,A231,A241,1,A253,1,A261,1,A274,0,A284,0,2014,0,Dreihundert,1,Gandhi,1,,0,2014,1,7
ur8,print,"Es ging um Inden und die strukturelle, politische Veränderung der Gesellschaft.",1,A224,A232,A241,1,A252,0,A263,0,A273,1,A283,0,Indien,1,200,0,,0,Korruption ,1,2018,0,5
